Index,Monster Name,Monster Gender,Monster Type,Monster Subtype,Monster Species,Monster Real,Monster Amount,Caught Fred,Caught Daphnie,Caught Velma,Caught Shaggy,Caught Scooby,Captured Fred,Captured Daphnie,Captured Velma,Captured Shaggy,Captured Scooby,Unmask Fred,Unmask Daphnie,Unmask Velma,Unmask Shaggy,Unmask Scooby,Snack Fred,Snack Daphnie,Snack Velma,Snack Shaggy,Snack Scooby,Unmask Other,Caught Other,Caught Not,Trap Work First,Setting Terrain,Setting Country State,Suspects Amount,Non Suspect,Arrested,Culprit Name,Culprit Gender,Culprit Amount,Motive,If It Wasnt For,And That,Door Gag,Number Of Snacks,Split Up,Another Mystery,Set A Trap,Jeepers,Jinkies,My Glasses,Just About Wrapped Up,Zoinks,Groovy,Scooby Doo Where Are You,Rooby Rooby Roo,Batman,Scooby Dum,Scrappy Doo,Hex Girls,Blue Falcon,Fred Va,Daphnie Va,Velma Va,Shaggy Va,Scooby Va
64,"Tamuka the Ghost Bull,Medicine Man Ghost,Talking Bull","Male,Male,Male","Ghost,Ghost,Animal","Beast,Witch Doctor,Beast","Bull,Human,Bull",FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NULL,Rural,Texas,5,FALSE,TRUE,"Sam Farren,Lenny,Sam Farren's Foreman","Male,Male,Male",3,Theft,pesky pair in the cow costume,NULL,FALSE,0,0,1,0,0,3,1,1,4,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
65,Demon Shark,Male,Mythical,Demon,Shark,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,United States,4,FALSE,TRUE,Mr. Wells,Male,1,Smuggling,NULL,NULL,FALSE,0,0,1,0,0,1,0,0,7,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
66,"Ghost of Captain Pescado,Kelp Monster,Octopus Monster","Male,Male,Male","Ghost,Plant,Animal","Pirate,Humanoid,Octopus","Human,Kelp,Octopus",FALSE,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Ocean,United States,2,FALSE,TRUE,Mr. Carp,Male,1,Treasure,these meddling laddies and lasses,NULL,FALSE,4,0,0,0,0,0,0,0,7,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
67,Rambling Ghost,Male,Ghost,Athlete,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,United States,6,FALSE,TRUE,Buck Bender,Male,1,Competition,nosy kids,dog,FALSE,0,1,1,0,1,0,0,0,8,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
68,"Strawberry Technicolor Phantom,Chocolate Technicolor Phantom,Vanilla Technicolor Phantom","Male,Male,Male","Ghost,Ghost,Ghost","Phantom,Phantom,Phantom","Human,Human,Human",FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,United States,2,FALSE,TRUE,Sammy the Shrimp,Male,1,Theft,those brats,NULL,FALSE,0,0,0,0,0,0,0,0,5,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
69,"Ghost of Benedict Arnold,Ghost of William Demont,Ghost of Major Andre","Male,Male,Male","Ghost,Ghost,Ghost","Statue,Statue,Statue","Human,Human,Human",FALSE,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,Washington D.C.,3,FALSE,TRUE,"Mr. Clive,Mr. Wilit","Male,Male",2,Counterfeit,NULL,NULL,FALSE,0,1,0,0,0,1,0,0,3,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
70,"Viking Ghost,Viking Ghost,Viking Ghost","Male,Male,Male","Ghost,Ghost,Ghost","Viking,Viking,Viking","Human,Human,Human",FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Forest,United States,3,FALSE,TRUE,Mr. Hansen,Male,1,Natural Resource,NULL,NULL,FALSE,0,2,1,0,3,0,0,0,8,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
71,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,NULL,Mountain,Switzerland,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,FALSE,FALSE,FALSE,FALSE,TRUE,NULL,NULL,NULL,NULL,Don Messick
72,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,Japan,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,2,FALSE,TRUE,FALSE,FALSE,TRUE,NULL,NULL,NULL,Casey Kasem,Don Messick
73,Gramps the Vamp,Male,Undead,Vampire,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,United States,5,FALSE,TRUE,Leon Vanaugh,Male,1,Competition,NULL,NULL,FALSE,0,0,0,1,0,1,0,0,11,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
