Index,Series Name,Network,Season,Title,IMDB,Engagement,Date Aired,Run Time,Format
439,Scooby-Doo Mystery Incorporated,Cartoon Network,1,The Secret Serum,8.1,225,10/11/2010,22 mins,TV Series
440,Scooby-Doo Mystery Incorporated,Cartoon Network,1,The Shrieking Madness,8.4,246,10/18/2010,22 mins,TV Series
441,Scooby-Doo Mystery Incorporated,Cartoon Network,1,When the Cicada Calls,8,224,10/25/2010,22 mins,TV Series
442,Warner Home Video,Cartoon Network,Movie,Scooby-Doo! Curse of the Lake Monster,4.9,4081,3/1/2011,81 mins,Movie
443,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Mystery Solvers Club State Finals,8.2,254,5/3/2011,22 mins,TV Series
444,Scooby-Doo Mystery Incorporated,Cartoon Network,1,The Wild Brood,7.7,221,5/10/2011,22 mins,TV Series
445,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Where Walks Aphrodite,8.2,228,5/17/2011,21 mins,TV Series
446,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Escape from Mystery Manor,8.8,250,5/24/2011,22 mins,TV Series
447,Scooby-Doo Mystery Incorporated,Cartoon Network,1,The Dragon's Secret,8.2,211,5/31/2011,22 mins,TV Series
448,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Nightfright,8.5,227,6/7/2011,22 mins,TV Series
449,Scooby-Doo Mystery Incorporated,Cartoon Network,1,The Siren's Song,8.1,203,6/14/2011,23 mins,TV Series
450,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Menace of the Manticore,8.2,212,6/21/2011,22 mins,TV Series
451,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Attack of the Headless Horror,8.1,196,6/28/2011,22 mins,TV Series
452,Scooby-Doo Mystery Incorporated,Cartoon Ntwrk,1,A Haunting in Crystal Cove,8.6,211,7/5/2011,22 mins,TV Series
453,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Dead Justice,8.2,194,7/12/2011,22 mins,TV Series
454,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Pawn of Shadows,8.8,212,7/19/2011,23 mins,TV Series
455,Scooby-Doo Mystery Incorporated,Cartoon Network,1,All Fear the Freak,9.2,272,7/26/2011,23 mins,TV Series
456,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Legend of the Phantosaur,6.8,1899,9/6/2011,77 mins,Movie
457,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Music of the Vampire,6.5,1573,3/13/2012,78 mins,Movie
458,Warner Home Video,Warner Home Video,Special,Scooby-Doo! Spooky Games,6.9,195,7/17/2012,23 mins,TV Series
459,Scooby-Doo Mystery Incorporated,Cartoon Network,2,The Night the Clown Cried,8.5,226,7/30/2012,23 mins,TV Series
460,Scooby-Doo Mystery Incorporated,cartoon_network,2,The House of the Nightmare Witch,7.9,187,7/31/2012,23 mins,TV Series
461,Scooby-Doo Mystery Incorporated,Cartoon Network,2,The Night the Clown Cried II - Tears of Doom,8.4,197,8/1/2012,23 mins,TV Series
462,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Web of the Dreamweaver!,8.2,192,8/2/2012,23 mins,TV Series
463,Scooby-Doo Mystery Incorporated,Cartoon Network,2,The Hodag of Horror,8.4,188,8/3/2012,23 mins,TV Series
464,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Art of Darkness,7.7,177,8/6/2012,23 mins,TV Series
465,Scooby-Doo Mystery Incorporated,Cartoon Network,2,The Gathering Gloom,8.2,172,8/7/2012,22 mins,TV Series
466,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Night on Haunted Mountain,8.3,183,8/8/2012,23 mins,TV Series
467,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Grrim Judgment,8.3,176,8/9/2012,23 mins,TV Series
468,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Night Terrors,9.1,202,8/10/2012,23 mins,TV Series
469,Scooby-Doo Mystery Incorporated,Cartoon Network,2,The Midnight Zone,8.7,187,8/13/2012,22 mins,TV Series
470,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Scarebear,8.2,169,8/14/2012,23 mins,TV Series
471,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Wrath of the Krampus,8.9,207,8/15/2012,22 mins,TV Series
472,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Heart of Evil,7.6,174,8/16/2012,22 mins,TV Series
473,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Theater of Doom,8.6,180,8/17/2012,22 mins,TV Series
474,Warner Home Video,Warner Home Video,Movie,Big Top Scooby-Doo!,6.9,1442,10/9/2012,80 mins,Movie
475,Warner Home Video,Warner Home Video,Special,Scooby-Doo! Haunted Holidays,7,392,10/16/2012,23 mins,TV Series
476,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Mask of the Blue Falcon,6.8,1485,2/26/2013,76 mins,Movie
477,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Aliens Among Us,8,172,3/25/2013,22 mins,TV Series
478,Scooby-Doo Mystery Incorporated,Cartoon Network,2,The Horrible Herd,8.3,167,3/25/2013,NULL,TV Series
479,Scooby-Doo Mystery Incorporated,Cartoon Netwrk,2,Dance of the Undead,8,180,3/26/2013,22 mins,TV Series
480,Scooby-Doo Mystery Incorporated,Cartoon Network,2,The Devouring,7.8,166,3/27/2013,23 mins,TV Series
481,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Stand and Deliver,8.3,171,3/28/2013,22 mins,TV Series
482,Scooby-Doo Mystery Incorporated,Cartoon Network,2,The Man in the Mirror,8.9,176,3/29/2013,22 mins,TV Series
483,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Nightmare in Red,8.9,187,4/2/2013,23 mins,TV Series
484,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Dark Night of Hunters,8.4,165,4/3/2013,22 mins,TV Series
485,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Gates of Gloom,8.7,169,4/4/2013,23 mins,TV Series
486,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Through the Curtain,9,184,4/5/2013,22 mins,TV Series
487,Scooby-Doo Mystery Incorporated,Cartoon Network,2,Come Undone,9.3,260,4/5/2013,22 mins,TV Series
488,Warner Home Video,Warner Home Video,Movie,Scooby-Doo Adventure: The Mystery Map!,5.1,294,7/23/2013,45 mins,Movie
489,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Stage Fright,7.1,1380,8/20/2013,78 mins,Movie
490,Warner Home Video,Warner Home Video,Special,Scooby-Doo! and the Spooky Scarecrow,7.3,403,9/10/2013,23 mins,TV Series
491,Warner Home Video,Warner Home Video,Special,Scooby-Doo! Mecha Mutt Menace,6.5,242,9/24/2013,23 mins,TV Series
492,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Wrestlemania Mystery,6.3,2825,3/25/2014,84 mins,Movie
493,Warner Home Video,Warner Home Video,Special,Scooby-Doo! Ghastly Goals!,6.6,216,5/13/2014,22 mins,TV Series
494,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Frankencreepy,6.7,1541,8/19/2014,74 mins,Movie
495,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Moon Monster Madness,6.5,1269,2/17/2015,80 mins,Movie
496,Warner Home Video,Warner Home Video,Special,Scooby-Doo! and the Beach Beastie,7.1,188,5/5/2015,22 mins,TV Series
497,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! KISS: Rock and Roll Mystery,6.5,1891,7/21/2015,79 mins,Movie
498,"Be Cool, Scooby-Doo!", Cartoon Network,1,Mystery 101,7.9,122,10/5/2015,22 mins,TV Series
499,"Be Cool, Scooby-Doo!",Cartoon Network,1,Game of Chicken,7.2,102,10/6/2015,22 mins,TV Series
500,"Be Cool, Scooby-Doo!", Cartoon Network,1,All Pawns on Deck,7.4,101,10/7/2015,22 mins,TV Series
501,"Be Cool, Scooby-Doo!",Cartoon Ntwrk,1,Poodle Justice,7.3,85,10/8/2015,22 mins,TV Series
502,"Be Cool, Scooby-Doo!",cartoon_network,1,Grand Scam,7.3,78,10/9/2015,22 mins,TV Series
503,"Be Cool, Scooby-Doo!",Cartoon Network,1,Grand Scam,7.3,78,10/9/2015,22 mins,TV Series
504,"Be Cool, Scooby-Doo!",Cartoon Network,1,Trading Chase,7.6,80,10/12/2015,22 mins,TV Series
505,"Be Cool, Scooby-Doo!",Cartoon Network,1,"Be Quiet, Scooby-Doo!",7.5,84,10/15/2015,22 mins,TV Series
506,"Be Cool, Scooby-Doo!",Cartoon Network,1,Party Like It's 1899,8.2,88,10/19/2015,NULL,TV Series
507,"Be Cool, Scooby-Doo!",Cartoon Network,1,Screama Donna,7.4,72,10/20/2015,22 mins,TV Series
